u,v,key,elevation,elevation_gain
433908,1420150732,0,317.0,-1.0
433908,274695255,0,315.0,-1.0
433908,1420150685,0,316.0,-1.0
433912,260753480,0,307.0,-7.0
433912,6053439226,0,305.0,-7.0
433912,433913,0,300.0,-7.0
433913,260756660,0,297.0,1.0
433913,433912,0,300.0,1.0
433913,447460386,0,298.0,1.0
433914,283059834,0,309.0,-1.0
433914,10548318128,0,308.0,-1.0
433918,313892994,0,307.0,0.0
433922,433923,0,307.0,0.0
433923,283059836,0,307.0,0.0
433923,433924,0,307.0,0.0
433924,433925,0,307.0,0.0
433925,283059839,0,306.0,1.0
433925,433918,0,307.0,1.0
433926,283059837,0,307.0,1.0
433926,283687061,0,308.0,1.0
434253,434257,0,308.0,2.0
434253,5667409022,0,310.0,2.0
434257,399489666,0,305.0,0.0
434258,2203746898,0,302.0,1.0
434258,526198053,0,303.0,1.0
434278,434286,0,295.0,1.0
434278,13887885,0,296.0,1.0
434286,434287,0,297.0,0.0
434287,88272488,0,303.0,0.0
434293,434295,0,295.0,0.0
434295,5243254409,0,302.0,-1.0
434295,245809985,0,301.0,-1.0
434297,13887885,0,290.0,2.0
434297,265808368,0,292.0,2.0
483640,11137362,0,423.0,0.0
483641,4264847664,0,427.0,-2.0
483641,642427,0,425.0,-2.0
483665,1512519910,0,404.0,-4.0
483665,1578422050,0,401.0,-4.0
483665,1163286334,0,400.0,-4.0
483682,402389279,0,424.0,10.0
483682,413331706,0,424.0,10.0
483682,916819828,0,426.0,10.0
483682,243536620,0,434.0,10.0
483687,4317677726,0,419.0,-4.0
483687,5903503192,0,415.0,-4.0
483688,243536620,0,426.0,1.0
483688,282913223,0,420.0,1.0
483688,261837387,0,427.0,1.0
483689,5903503192,0,411.0,-2.0
483689,33475492,0,407.0,-2.0
483689,483750,0,409.0,-2.0
483750,261895324,0,404.0,5.0
483750,1590400354,0,401.0,5.0
483750,483689,0,409.0,5.0
483821,483829,0,423.0,0.0
483829,2881111010,0,422.0,1.0
483829,1591219347,0,423.0,1.0
483835,243752707,0,426.0,2.0
483835,60023804,0,429.0,2.0
483835,2878719024,0,428.0,2.0
483835,2878719013,0,428.0,2.0
483836,2878719024,0,429.0,0.0
483836,270520499,0,428.0,0.0
483836,483837,0,429.0,0.0
483837,60023797,0,428.0,0.0
483837,483836,0,429.0,0.0
483837,2879706272,0,428.0,0.0
483838,3668964748,0,429.0,0.0
483838,1371097398,0,429.0,0.0
483838,60023758,0,429.0,0.0
483856,60023747,0,431.0,-1.0
483856,60023765,0,430.0,-1.0
